ID,CPU_LOAD,MEMORY_LOAD,DELAY,ERROR_1000,ERROR_1001,ERROR_1002,ERROR_1003,ROOT_CAUSE
39,1,0,0,1,1,1,0,DATABASE_ISSUE
40,0,0,1,1,1,0,0,NETWORK_DELAY
41,1,0,0,0,1,0,1,NETWORK_DELAY
42,1,0,1,0,0,1,0,DATABASE_ISSUE
43,0,0,0,0,0,1,0,MEMORY
44,1,0,0,0,1,1,0,DATABASE_ISSUE
45,0,1,1,1,1,0,0,NETWORK_DELAY
46,0,0,1,0,0,0,0,NETWORK_DELAY
47,0,1,0,1,1,0,0,NETWORK_DELAY
48,1,1,1,1,1,1,0,DATABASE_ISSUE
49,0,0,1,0,0,0,0,NETWORK_DELAY
50,1,0,0,0,0,1,0,DATABASE_ISSUE
51,0,0,0,0,0,0,1,MEMORY
52,1,0,0,1,1,1,1,DATABASE_ISSUE
53,1,0,0,0,0,1,0,DATABASE_ISSUE
54,1,0,0,0,1,1,1,DATABASE_ISSUE
55,0,0,1,1,1,0,0,NETWORK_DELAY
56,0,1,0,1,0,1,0,MEMORY
57,0,0,1,0,1,0,1,NETWORK_DELAY
58,0,1,1,1,0,0,1,MEMORY
59,1,0,0,0,0,1,0,DATABASE_ISSUE
60,1,0,0,0,1,1,0,DATABASE_ISSUE
61,0,0,1,1,1,0,0,NETWORK_DELAY
62,1,1,0,0,0,1,1,MEMORY
63,1,0,0,0,0,1,0,DATABASE_ISSUE
64,0,1,0,0,0,1,1,MEMORY
65,0,1,1,1,0,1,1,NETWORK_DELAY
66,0,0,0,0,0,0,1,MEMORY
67,1,1,0,1,0,1,0,DATABASE_ISSUE
68,1,0,0,0,0,1,1,DATABASE_ISSUE
69,0,1,0,0,0,1,1,MEMORY
70,0,0,1,1,0,0,0,NETWORK_DELAY
71,1,1,0,1,1,0,1,MEMORY
72,1,1,1,0,0,1,0,DATABASE_ISSUE
73,0,1,0,0,0,0,1,MEMORY
74,1,1,0,0,1,0,1,DATABASE_ISSUE
75,0,0,1,1,1,0,0,NETWORK_DELAY
76,0,1,0,0,0,0,1,MEMORY
77,1,1,1,1,0,0,0,NETWORK_DELAY
78,1,0,1,1,1,0,0,NETWORK_DELAY
79,1,0,1,1,1,0,0,NETWORK_DELAY
80,0,0,1,1,0,0,0,NETWORK_DELAY
81,1,0,1,1,1,0,0,NETWORK_DELAY
82,1,1,0,1,0,1,1,MEMORY
83,0,0,1,1,1,0,0,NETWORK_DELAY
84,0,1,1,0,1,0,1,MEMORY
85,1,0,0,1,0,0,0,NETWORK_DELAY
86,0,0,1,0,0,1,0,NETWORK_DELAY
87,1,1,0,0,0,1,0,DATABASE_ISSUE
88,0,1,0,1,1,0,1,MEMORY
89,0,1,1,0,1,1,1,MEMORY
90,1,0,0,0,0,1,0,DATABASE_ISSUE
91,0,1,0,0,1,0,1,MEMORY
92,0,0,0,0,1,0,0,MEMORY
93,0,1,1,0,1,0,1,MEMORY
94,0,1,0,0,0,0,0,MEMORY
95,0,1,0,0,1,0,1,MEMORY
96,0,0,1,1,1,0,0,NETWORK_DELAY
97,1,0,0,0,0,0,0,DATABASE_ISSUE
98,0,0,0,0,0,0,0,MEMORY
99,1,1,0,1,0,1,1,MEMORY
100,1,1,0,0,1,1,0,MEMORY
101,0,1,0,0,0,0,1,MEMORY
102,0,1,0,1,0,1,1,MEMORY
103,0,0,0,0,0,0,0,NETWORK_DELAY
104,1,0,0,0,1,1,0,DATABASE_ISSUE
105,0,0,0,1,0,0,1,MEMORY
106,0,0,1,1,1,0,0,NETWORK_DELAY
107,0,0,1,1,0,0,0,NETWORK_DELAY
108,1,1,0,0,0,1,0,DATABASE_ISSUE
109,1,0,0,0,0,1,0,DATABASE_ISSUE
110,1,1,1,0,1,0,1,MEMORY
111,0,0,1,1,0,1,0,NETWORK_DELAY
112,0,0,1,1,0,0,0,NETWORK_DELAY
113,0,1,0,0,1,0,0,NETWORK_DELAY
114,1,1,0,0,1,1,0,DATABASE_ISSUE
115,1,1,1,0,0,1,0,DATABASE_ISSUE
116,1,0,0,0,1,1,0,DATABASE_ISSUE
117,0,1,0,0,0,0,0,MEMORY
118,0,0,0,0,1,0,1,MEMORY
119,0,1,0,1,1,0,1,MEMORY
120,0,0,1,1,1,1,1,NETWORK_DELAY
121,0,1,0,1,0,1,0,MEMORY
122,1,1,0,0,1,0,0,DATABASE_ISSUE
123,1,0,1,0,0,1,0,NETWORK_DELAY
124,1,0,0,0,1,1,0,DATABASE_ISSUE
125,1,0,0,0,0,1,0,DATABASE_ISSUE
126,0,0,1,1,1,0,0,NETWORK_DELAY
127,0,1,1,0,1,0,0,NETWORK_DELAY
128,0,0,0,0,1,0,0,NETWORK_DELAY
129,0,1,0,0,0,0,0,MEMORY
130,1,0,0,0,0,1,0,DATABASE_ISSUE
131,0,0,1,1,1,0,0,NETWORK_DELAY
132,1,0,0,0,0,0,0,MEMORY
133,1,0,1,0,0,1,0,DATABASE_ISSUE
134,1,0,0,0,1,0,0,DATABASE_ISSUE
135,0,0,0,0,1,0,1,DATABASE_ISSUE
136,1,1,0,0,1,1,1,DATABASE_ISSUE
137,1,0,0,0,1,0,0,DATABASE_ISSUE
138,0,0,1,1,0,1,1,NETWORK_DELAY
139,0,1,1,0,1,0,1,MEMORY
140,0,1,0,1,1,0,0,MEMORY
141,0,0,1,1,1,1,0,NETWORK_DELAY
142,0,1,0,1,1,1,0,DATABASE_ISSUE
143,0,1,1,0,0,1,0,DATABASE_ISSUE
144,1,1,1,0,1,0,1,MEMORY
145,1,0,0,0,1,1,1,DATABASE_ISSUE
146,0,0,1,1,0,0,0,NETWORK_DELAY
147,1,1,0,1,0,0,1,MEMORY
148,0,0,1,1,1,0,0,NETWORK_DELAY
149,1,0,1,0,0,1,0,DATABASE_ISSUE
150,0,0,1,1,0,0,0,NETWORK_DELAY
151,0,0,1,1,0,1,0,NETWORK_DELAY
152,0,1,0,0,0,1,1,MEMORY
153,1,1,1,1,0,1,1,DATABASE_ISSUE
154,0,0,1,0,0,0,1,NETWORK_DELAY
155,0,0,0,1,1,1,0,DATABASE_ISSUE
156,0,0,0,0,0,1,0,DATABASE_ISSUE
157,1,0,0,1,1,1,0,DATABASE_ISSUE
158,0,0,0,1,0,0,1,NETWORK_DELAY
159,0,1,1,0,1,0,0,NETWORK_DELAY
160,0,1,0,0,1,0,1,MEMORY
161,0,0,1,1,0,1,0,NETWORK_DELAY
162,0,0,1,1,0,0,0,NETWORK_DELAY
163,1,0,1,1,1,0,1,NETWORK_DELAY
164,0,0,0,0,1,1,0,DATABASE_ISSUE
165,1,0,1,1,1,0,0,NETWORK_DELAY
166,0,0,0,1,1,0,1,NETWORK_DELAY
167,0,1,0,0,0,0,1,MEMORY
168,1,0,0,0,0,1,0,DATABASE_ISSUE
169,0,1,0,0,0,0,1,MEMORY
170,0,1,0,0,0,0,0,MEMORY
171,1,1,1,1,0,1,0,DATABASE_ISSUE
172,0,1,1,0,1,1,1,MEMORY
173,0,1,0,1,0,0,0,NETWORK_DELAY
174,0,1,1,1,0,0,1,MEMORY
175,0,1,1,0,0,0,1,MEMORY
176,1,0,0,0,0,0,0,DATABASE_ISSUE
177,0,1,1,1,0,0,1,MEMORY
178,0,1,0,0,1,1,0,MEMORY
179,1,1,0,0,0,0,1,MEMORY
180,0,0,0,0,1,1,0,DATABASE_ISSUE
181,0,0,1,0,0,0,0,NETWORK_DELAY
182,0,1,1,0,0,1,1,MEMORY
183,1,1,0,0,1,1,0,DATABASE_ISSUE
184,1,0,0,0,1,1,0,DATABASE_ISSUE
185,1,0,0,0,1,1,1,MEMORY
186,1,0,0,0,1,1,0,DATABASE_ISSUE
187,0,1,1,0,0,1,0,MEMORY
188,0,0,1,1,0,0,0,NETWORK_DELAY
189,0,0,1,1,1,1,0,DATABASE_ISSUE
190,0,1,0,0,0,0,1,MEMORY
191,1,1,0,0,1,0,1,MEMORY
192,1,1,0,0,0,0,1,MEMORY
193,0,0,1,1,1,0,1,NETWORK_DELAY
194,1,0,1,0,1,0,1,MEMORY
195,1,0,1,1,1,0,0,NETWORK_DELAY
196,1,0,0,1,1,1,1,DATABASE_ISSUE
197,1,0,0,0,1,0,0,DATABASE_ISSUE
198,1,1,0,0,1,0,0,DATABASE_ISSUE
199,1,1,0,0,1,1,1,DATABASE_ISSUE
200,0,0,0,1,0,0,0,MEMORY
201,1,0,0,1,1,1,0,DATABASE_ISSUE
202,0,0,0,1,1,0,0,NETWORK_DELAY
203,1,1,0,0,0,0,0,MEMORY
204,0,1,0,0,1,0,1,MEMORY
205,1,1,0,0,1,1,0,DATABASE_ISSUE
206,1,0,0,0,0,0,0,NETWORK_DELAY
207,1,0,0,1,1,1,0,DATABASE_ISSUE
208,1,0,0,0,0,0,1,MEMORY
209,1,0,0,0,1,1,0,MEMORY
210,0,1,0,0,1,1,0,DATABASE_ISSUE
211,1,0,0,0,1,1,1,DATABASE_ISSUE
212,0,1,0,0,1,1,0,DATABASE_ISSUE
213,0,0,1,1,1,1,1,NETWORK_DELAY
214,1,0,1,0,1,1,0,DATABASE_ISSUE
215,1,0,0,0,1,1,0,DATABASE_ISSUE
216,1,0,0,0,0,1,0,DATABASE_ISSUE
217,1,1,1,0,0,0,1,MEMORY
218,0,0,1,1,1,0,0,NETWORK_DELAY
219,1,0,0,0,0,1,0,DATABASE_ISSUE
220,1,0,0,0,1,0,0,MEMORY
221,1,0,0,0,1,1,0,DATABASE_ISSUE
222,1,0,0,1,1,1,0,DATABASE_ISSUE
223,0,0,1,0,1,0,1,NETWORK_DELAY
224,0,1,0,0,0,0,1,MEMORY
225,0,0,0,1,0,0,1,NETWORK_DELAY
226,0,0,1,1,0,1,0,NETWORK_DELAY
227,0,0,0,0,1,1,0,DATABASE_ISSUE
228,1,1,0,0,1,0,1,MEMORY
229,1,0,0,1,0,1,0,DATABASE_ISSUE
230,0,0,1,1,0,0,0,NETWORK_DELAY
231,0,1,1,1,1,1,0,NETWORK_DELAY
232,0,0,1,0,1,0,0,NETWORK_DELAY
233,1,0,0,0,0,0,0,DATABASE_ISSUE
234,1,0,0,0,1,0,0,DATABASE_ISSUE
235,0,0,1,1,0,0,0,NETWORK_DELAY
236,0,0,0,0,1,0,0,NETWORK_DELAY
237,0,1,1,1,0,1,1,NETWORK_DELAY
238,1,1,0,0,1,0,1,MEMORY
239,1,1,1,1,1,0,1,MEMORY
240,1,1,0,0,1,1,1,MEMORY
241,1,0,1,1,0,0,0,NETWORK_DELAY
242,1,1,0,1,0,1,1,DATABASE_ISSUE
243,0,0,1,1,1,0,0,NETWORK_DELAY
244,1,0,0,1,1,0,1,DATABASE_ISSUE
245,0,0,1,1,1,0,1,NETWORK_DELAY
246,1,0,0,0,0,1,0,DATABASE_ISSUE
247,0,0,1,1,0,0,0,NETWORK_DELAY
248,0,1,0,0,0,0,0,MEMORY
249,1,0,0,0,0,1,1,DATABASE_ISSUE
250,0,1,0,0,0,0,1,MEMORY
251,0,0,1,1,0,0,1,NETWORK_DELAY
252,0,1,0,0,0,1,0,MEMORY
253,0,1,0,0,0,0,1,NETWORK_DELAY
254,0,0,1,0,0,0,0,NETWORK_DELAY
255,1,1,0,0,0,1,1,MEMORY
256,0,1,1,1,1,0,0,NETWORK_DELAY
257,1,0,0,1,1,1,1,DATABASE_ISSUE
258,1,1,1,1,0,0,0,DATABASE_ISSUE
259,1,0,1,1,0,0,0,NETWORK_DELAY
260,0,0,1,0,1,0,0,NETWORK_DELAY
261,1,1,0,0,1,0,0,MEMORY
262,1,0,0,0,0,0,1,MEMORY
263,1,0,0,0,0,0,0,DATABASE_ISSUE
264,0,0,0,0,1,0,0,DATABASE_ISSUE
265,1,1,1,0,0,1,0,DATABASE_ISSUE
266,1,1,0,0,1,0,0,MEMORY
267,1,0,0,0,1,0,0,DATABASE_ISSUE
268,1,1,1,1,1,1,0,NETWORK_DELAY
269,0,0,1,1,0,0,1,NETWORK_DELAY
270,0,0,0,0,0,0,0,MEMORY
271,1,0,0,0,1,1,0,DATABASE_ISSUE
272,0,0,0,1,0,1,0,NETWORK_DELAY
273,0,0,1,0,0,1,0,NETWORK_DELAY
274,1,1,0,0,1,0,1,DATABASE_ISSUE
275,1,0,0,0,1,0,0,DATABASE_ISSUE
276,1,1,1,0,0,1,1,DATABASE_ISSUE
277,0,0,1,1,0,1,0,NETWORK_DELAY
278,1,0,0,1,1,1,1,NETWORK_DELAY
279,1,0,0,0,1,0,0,DATABASE_ISSUE
280,0,1,1,1,0,1,1,NETWORK_DELAY
281,1,1,0,0,1,1,1,MEMORY
282,0,0,1,0,1,1,0,NETWORK_DELAY
283,0,0,0,0,0,1,0,DATABASE_ISSUE
284,1,0,0,1,1,1,0,DATABASE_ISSUE
285,0,0,1,1,0,1,1,NETWORK_DELAY
286,1,1,0,0,0,0,0,DATABASE_ISSUE
287,0,0,1,1,0,0,0,NETWORK_DELAY
288,0,0,1,1,1,1,0,NETWORK_DELAY
289,1,1,1,1,1,0,0,NETWORK_DELAY
290,1,1,0,1,0,1,0,DATABASE_ISSUE
291,1,1,0,1,1,1,0,DATABASE_ISSUE
292,1,0,0,1,1,1,0,DATABASE_ISSUE
293,0,0,0,0,0,0,1,DATABASE_ISSUE
294,1,1,0,0,1,0,1,MEMORY
295,0,1,1,0,1,0,0,MEMORY
296,0,0,0,0,0,0,1,DATABASE_ISSUE
297,0,0,0,1,0,0,0,NETWORK_DELAY
298,1,1,1,0,0,0,0,MEMORY
299,0,1,1,1,1,0,0,NETWORK_DELAY
300,1,0,0,0,1,1,0,DATABASE_ISSUE
301,0,0,0,0,1,0,1,MEMORY
302,0,0,0,0,0,0,1,MEMORY
303,0,1,1,0,0,1,1,MEMORY
304,0,1,0,1,1,0,1,MEMORY
305,1,1,0,1,0,1,0,NETWORK_DELAY
306,0,0,1,1,0,0,0,NETWORK_DELAY
307,1,0,0,1,1,0,0,NETWORK_DELAY
308,0,0,0,1,1,0,1,DATABASE_ISSUE
309,0,1,0,0,1,0,1,MEMORY
310,0,0,0,1,1,0,1,NETWORK_DELAY
311,1,0,0,0,0,0,1,MEMORY
312,1,0,1,0,0,0,0,DATABASE_ISSUE
313,0,1,0,0,0,1,1,MEMORY
314,0,1,1,0,0,1,0,DATABASE_ISSUE
315,1,0,1,0,1,0,0,NETWORK_DELAY
316,1,0,0,0,1,0,1,MEMORY
317,0,1,0,0,0,1,1,MEMORY
318,0,1,0,1,0,0,1,MEMORY
319,0,1,1,0,0,1,0,NETWORK_DELAY
320,0,1,0,0,0,0,0,MEMORY
321,0,1,1,1,1,0,0,NETWORK_DELAY
322,1,0,0,0,0,0,0,MEMORY
323,1,1,0,0,1,0,1,MEMORY
324,0,1,1,0,0,0,1,MEMORY
325,0,0,1,1,1,0,0,NETWORK_DELAY
326,0,1,0,0,0,1,1,MEMORY
327,0,1,0,0,0,0,1,MEMORY
328,0,0,1,0,0,1,0,NETWORK_DELAY
329,0,0,1,1,0,1,0,NETWORK_DELAY
330,0,0,0,0,0,0,1,MEMORY
331,1,1,0,0,0,0,0,DATABASE_ISSUE
332,1,1,1,0,0,1,1,MEMORY
333,1,1,0,0,0,1,1,MEMORY
334,1,1,1,1,0,0,0,NETWORK_DELAY
335,0,0,0,0,0,0,1,MEMORY
336,1,0,0,1,1,1,1,DATABASE_ISSUE
337,0,1,1,0,0,0,1,MEMORY
338,1,0,1,0,0,1,0,DATABASE_ISSUE
339,1,0,0,1,1,1,0,DATABASE_ISSUE
340,0,0,1,1,1,0,0,NETWORK_DELAY
341,1,0,0,0,1,0,1,NETWORK_DELAY
342,1,0,1,0,0,1,0,DATABASE_ISSUE
343,0,0,0,0,0,1,0,MEMORY
344,1,0,0,0,1,1,0,DATABASE_ISSUE
345,0,1,1,1,1,0,0,NETWORK_DELAY
346,0,0,1,0,0,0,0,NETWORK_DELAY
347,0,1,0,1,1,0,0,NETWORK_DELAY
348,1,1,1,1,1,1,0,DATABASE_ISSUE
349,0,0,1,0,0,0,0,NETWORK_DELAY
350,1,0,0,0,0,1,0,DATABASE_ISSUE
351,0,0,0,0,0,0,1,MEMORY
352,1,0,0,1,1,1,1,DATABASE_ISSUE
353,1,0,0,0,0,1,0,DATABASE_ISSUE
354,1,0,0,0,1,1,1,DATABASE_ISSUE
355,0,0,1,1,1,0,0,NETWORK_DELAY
356,0,1,0,1,0,1,0,MEMORY
357,0,0,1,0,1,0,1,NETWORK_DELAY
358,0,1,1,1,0,0,1,MEMORY
359,1,0,0,0,0,1,0,DATABASE_ISSUE
360,1,0,0,0,1,1,0,DATABASE_ISSUE
361,0,0,1,1,1,0,0,NETWORK_DELAY
362,1,1,0,0,0,1,1,MEMORY
363,1,0,0,0,0,1,0,DATABASE_ISSUE
364,0,1,0,0,0,1,1,MEMORY
365,0,1,1,1,0,1,1,NETWORK_DELAY
366,0,0,0,0,0,0,1,MEMORY
367,1,1,0,1,0,1,0,DATABASE_ISSUE
368,1,0,0,0,0,1,1,DATABASE_ISSUE
369,0,1,0,0,0,1,1,MEMORY
370,0,0,1,1,0,0,0,NETWORK_DELAY
371,1,1,0,1,1,0,1,MEMORY
372,1,1,1,0,0,1,0,DATABASE_ISSUE
373,0,1,0,0,0,0,1,MEMORY
374,1,1,0,0,1,0,1,DATABASE_ISSUE
375,0,0,1,1,1,0,0,NETWORK_DELAY
376,0,1,0,0,0,0,1,MEMORY
377,1,1,1,1,0,0,0,NETWORK_DELAY
378,1,0,1,1,1,0,0,NETWORK_DELAY
379,1,0,1,1,1,0,0,NETWORK_DELAY
380,0,0,1,1,0,0,0,NETWORK_DELAY
381,1,0,1,1,1,0,0,NETWORK_DELAY
382,1,1,0,1,0,1,1,MEMORY
383,0,0,1,1,1,0,0,NETWORK_DELAY
384,0,1,1,0,1,0,1,MEMORY
385,1,0,0,1,0,0,0,NETWORK_DELAY
386,0,0,1,0,0,1,0,NETWORK_DELAY
387,1,1,0,0,0,1,0,DATABASE_ISSUE
388,0,1,0,1,1,0,1,MEMORY
389,0,1,1,0,1,1,1,MEMORY
390,1,0,0,0,0,1,0,DATABASE_ISSUE
391,0,1,0,0,1,0,1,MEMORY
392,0,0,0,0,1,0,0,MEMORY
393,0,1,1,0,1,0,1,MEMORY
394,0,1,0,0,0,0,0,MEMORY
395,0,1,0,0,1,0,1,MEMORY
396,0,0,1,1,1,0,0,NETWORK_DELAY
397,1,0,0,0,0,0,0,DATABASE_ISSUE
398,0,0,0,0,0,0,0,MEMORY
399,1,1,0,1,0,1,1,MEMORY
400,1,1,0,0,1,1,0,MEMORY
401,0,1,0,0,0,0,1,MEMORY
402,0,1,0,1,0,1,1,MEMORY
403,0,0,0,0,0,0,0,NETWORK_DELAY
404,1,0,0,0,1,1,0,DATABASE_ISSUE
405,0,0,0,1,0,0,1,MEMORY
406,0,0,1,1,1,0,0,NETWORK_DELAY
407,0,0,1,1,0,0,0,NETWORK_DELAY
408,1,1,0,0,0,1,0,DATABASE_ISSUE
409,1,0,0,0,0,1,0,DATABASE_ISSUE
410,1,1,1,0,1,0,1,MEMORY
411,0,0,1,1,0,1,0,NETWORK_DELAY
412,0,0,1,1,0,0,0,NETWORK_DELAY
413,0,1,0,0,1,0,0,NETWORK_DELAY
414,1,1,0,0,1,1,0,DATABASE_ISSUE
415,1,1,1,0,0,1,0,DATABASE_ISSUE
416,1,0,0,0,1,1,0,DATABASE_ISSUE
417,0,1,0,0,0,0,0,MEMORY
418,0,0,0,0,1,0,1,MEMORY
419,0,1,0,1,1,0,1,MEMORY
420,0,0,1,1,1,1,1,NETWORK_DELAY
421,0,1,0,1,0,1,0,MEMORY
422,1,1,0,0,1,0,0,DATABASE_ISSUE
423,1,0,1,0,0,1,0,NETWORK_DELAY
424,1,0,0,0,1,1,0,DATABASE_ISSUE
425,1,0,0,0,0,1,0,DATABASE_ISSUE
426,0,0,1,1,1,0,0,NETWORK_DELAY
427,0,1,1,0,1,0,0,NETWORK_DELAY
428,0,0,0,0,1,0,0,NETWORK_DELAY
429,0,1,0,0,0,0,0,MEMORY
430,1,0,0,0,0,1,0,DATABASE_ISSUE
431,0,0,1,1,1,0,0,NETWORK_DELAY
432,1,0,0,0,0,0,0,MEMORY
433,1,0,1,0,0,1,0,DATABASE_ISSUE
434,1,0,0,0,1,0,0,DATABASE_ISSUE
435,0,0,0,0,1,0,1,DATABASE_ISSUE
436,1,1,0,0,1,1,1,DATABASE_ISSUE
437,1,0,0,0,1,0,0,DATABASE_ISSUE
438,0,0,1,1,0,1,1,NETWORK_DELAY
439,0,1,1,0,1,0,1,MEMORY
440,0,1,0,1,1,0,0,MEMORY
441,0,0,1,1,1,1,0,NETWORK_DELAY
442,0,1,0,1,1,1,0,DATABASE_ISSUE
443,0,1,1,0,0,1,0,DATABASE_ISSUE
444,1,1,1,0,1,0,1,MEMORY
445,1,0,0,0,1,1,1,DATABASE_ISSUE
446,0,0,1,1,0,0,0,NETWORK_DELAY
447,1,1,0,1,0,0,1,MEMORY
448,0,0,1,1,1,0,0,NETWORK_DELAY
449,1,0,1,0,0,1,0,DATABASE_ISSUE
450,0,0,1,1,0,0,0,NETWORK_DELAY
451,0,0,1,1,0,1,0,NETWORK_DELAY
452,0,1,0,0,0,1,1,MEMORY
453,1,1,1,1,0,1,1,DATABASE_ISSUE
454,0,0,1,0,0,0,1,NETWORK_DELAY
455,0,0,0,1,1,1,0,DATABASE_ISSUE
456,0,0,0,0,0,1,0,DATABASE_ISSUE
457,1,0,0,1,1,1,0,DATABASE_ISSUE
458,0,0,0,1,0,0,1,NETWORK_DELAY
459,0,1,1,0,1,0,0,NETWORK_DELAY
460,0,1,0,0,1,0,1,MEMORY
461,0,0,1,1,0,1,0,NETWORK_DELAY
462,0,0,1,1,0,0,0,NETWORK_DELAY
463,1,0,1,1,1,0,1,NETWORK_DELAY
464,0,0,0,0,1,1,0,DATABASE_ISSUE
465,1,0,1,1,1,0,0,NETWORK_DELAY
466,0,0,0,1,1,0,1,NETWORK_DELAY
467,0,1,0,0,0,0,1,MEMORY
468,1,0,0,0,0,1,0,DATABASE_ISSUE
469,0,1,0,0,0,0,1,MEMORY
470,0,1,0,0,0,0,0,MEMORY
471,1,1,1,1,0,1,0,DATABASE_ISSUE
472,0,1,1,0,1,1,1,MEMORY
473,0,1,0,1,0,0,0,NETWORK_DELAY
474,0,1,1,1,0,0,1,MEMORY
475,0,1,1,0,0,0,1,MEMORY
476,1,0,0,0,0,0,0,DATABASE_ISSUE
477,0,1,1,1,0,0,1,MEMORY
478,0,1,0,0,1,1,0,MEMORY
479,1,1,0,0,0,0,1,MEMORY
480,0,0,0,0,1,1,0,DATABASE_ISSUE
481,0,0,1,0,0,0,0,NETWORK_DELAY
482,0,1,1,0,0,1,1,MEMORY
483,1,1,0,0,1,1,0,DATABASE_ISSUE
484,1,0,0,0,1,1,0,DATABASE_ISSUE
485,1,0,0,0,1,1,1,MEMORY
486,1,0,0,0,1,1,0,DATABASE_ISSUE
487,0,1,1,0,0,1,0,MEMORY
488,0,0,1,1,0,0,0,NETWORK_DELAY
489,0,0,1,1,1,1,0,DATABASE_ISSUE
490,0,1,0,0,0,0,1,MEMORY
491,1,1,0,0,1,0,1,MEMORY
492,1,1,0,0,0,0,1,MEMORY
493,0,0,1,1,1,0,1,NETWORK_DELAY
494,1,0,1,0,1,0,1,MEMORY
495,1,0,1,1,1,0,0,NETWORK_DELAY
496,1,0,0,1,1,1,1,DATABASE_ISSUE
497,1,0,0,0,1,0,0,DATABASE_ISSUE
498,1,1,0,0,1,0,0,DATABASE_ISSUE
499,1,1,0,0,1,1,1,DATABASE_ISSUE
500,0,0,0,1,0,0,0,MEMORY
501,1,0,0,1,1,1,0,DATABASE_ISSUE
502,0,0,0,1,1,0,0,NETWORK_DELAY
503,1,1,0,0,0,0,0,MEMORY
504,0,1,0,0,1,0,1,MEMORY
505,1,1,0,0,1,1,0,DATABASE_ISSUE
506,1,0,0,0,0,0,0,NETWORK_DELAY
507,1,0,0,1,1,1,0,DATABASE_ISSUE
508,1,0,0,0,0,0,1,MEMORY
509,1,0,0,0,1,1,0,MEMORY
510,0,1,0,0,1,1,0,DATABASE_ISSUE
511,1,0,0,0,1,1,1,DATABASE_ISSUE
512,0,1,0,0,1,1,0,DATABASE_ISSUE
513,0,0,1,1,1,1,1,NETWORK_DELAY
514,1,0,1,0,1,1,0,DATABASE_ISSUE
515,1,0,0,0,1,1,0,DATABASE_ISSUE
516,1,0,0,0,0,1,0,DATABASE_ISSUE
517,1,1,1,0,0,0,1,MEMORY
518,0,0,1,1,1,0,0,NETWORK_DELAY
519,1,0,0,0,0,1,0,DATABASE_ISSUE
520,1,0,0,0,1,0,0,MEMORY
521,1,0,0,0,1,1,0,DATABASE_ISSUE
522,1,0,0,1,1,1,0,DATABASE_ISSUE
523,0,0,1,0,1,0,1,NETWORK_DELAY
524,0,1,0,0,0,0,1,MEMORY
525,0,0,0,1,0,0,1,NETWORK_DELAY
526,0,0,1,1,0,1,0,NETWORK_DELAY
527,0,0,0,0,1,1,0,DATABASE_ISSUE
528,1,1,0,0,1,0,1,MEMORY
529,1,0,0,1,0,1,0,DATABASE_ISSUE
530,0,0,1,1,0,0,0,NETWORK_DELAY
531,0,1,1,1,1,1,0,NETWORK_DELAY
532,0,0,1,0,1,0,0,NETWORK_DELAY
533,1,0,0,0,0,0,0,DATABASE_ISSUE
534,1,0,0,0,1,0,0,DATABASE_ISSUE
535,0,0,1,1,0,0,0,NETWORK_DELAY
536,0,0,0,0,1,0,0,NETWORK_DELAY
537,0,1,1,1,0,1,1,NETWORK_DELAY
538,1,1,0,0,1,0,1,MEMORY
539,1,1,1,1,1,0,1,MEMORY
540,1,1,0,0,1,1,1,MEMORY
541,1,0,1,1,0,0,0,NETWORK_DELAY
